Participant,Session,Staircase,Score,Experiment,Time
7,15,1,2.97,No delay,Late
7,15,2,2.38,No delay,Late
7,15,3,2.14,No delay,Late
7,15,4,1.82,No delay,Late
7,15,1,1.719,Delay,Late
7,15,3,2.259,Delay,Late
7,15,2,1.953,Delay,Late
7,15,4,2.387,Delay,Late
8,1,4,13.261,Delay,Early
8,1,3,5.231,Delay,Early
8,1,2,11.253,Delay,Early
8,1,1,20.54,Delay,Early
8,1,1,12.29,No delay,Early
8,1,2,12.5,No delay,Early
8,1,3,7.11,No delay,Early
8,1,4,9.02,No delay,Early
8,2,2,5.526,Delay,Early
8,2,3,6.054,Delay,Early
8,2,1,6.878,Delay,Early
8,2,4,4.203,Delay,Early
8,2,1,6.51,No delay,Early
8,2,2,4.44,No delay,Early
8,2,3,4.85,No delay,Early
8,2,4,8.1,No delay,Early
8,3,1,5.24,No delay,Early
8,3,2,6.63,No delay,Early
8,3,3,6.27,No delay,Early
8,3,4,5.22,No delay,Early
8,13,1,1.65,No delay,Late
8,13,2,3.43,No delay,Late
8,13,3,2.22,No delay,Late
8,13,4,2.81,No delay,Late
8,14,1,2.22,No delay,Late
8,14,2,2.62,No delay,Late
8,14,3,1.65,No delay,Late
8,14,4,1.95,No delay,Late
8,15,1,3.49,No delay,Late
8,15,2,1.88,No delay,Late
8,15,3,3.2,No delay,Late
8,15,4,3.77,No delay,Late
4,1,1,8.718170476,Delay,Early
4,1,2,5.836052525,Delay,Early
4,1,3,4.688984859,Delay,Early
4,1,4,5.836760006,Delay,Early
4,2,1,3.83599364,Delay,Early
4,2,2,4.358852872,Delay,Early
4,2,3,3.837320124,Delay,Early
4,2,4,4.521474119,Delay,Early
4,3,1,2.813995139,Delay,Early
4,3,2,2.761890205,Delay,Early
4,3,3,2.971699247,Delay,Early
4,3,4,2.918588143,Delay,Early
6,1,1,7.674,Delay,Early
6,1,2,8.254,Delay,Early
6,1,3,4.127,Delay,Early
6,1,1,4.775,Delay,Early
6,14,1,1.514735378,Delay,Early
6,14,2,1.48666296,Delay,Early
6,14,3,1.688839039,Delay,Early
6,14,1,1.658332696,Delay,Early
8,3,1,15.067,Delay,Early
8,3,2,18.078,Delay,Early
8,3,3,16.208,Delay,Early
8,3,4,15.626,Delay,Early
8,13,1,1.816,Delay,Late
8,13,2,1.46,Delay,Late
8,13,3,1.408,Delay,Late
8,13,4,,Delay,Late
8,14,1,1.816,Delay,Late
8,14,2,1.688,Delay,Late
8,14,3,2.476,Delay,Late
8,14,4,1.263,Delay,Late
8,15,1,2.813,Delay,Late
8,15,2,1.688,Delay,Late
8,15,3,1.917,Delay,Late
8,15,3,1.36,Delay,Late
